"Price"
"https://www.eia.gov/coal/data/browser/#/topic/23?agg=1,0&geo=vvvvvvvvvvvvo&sec=gs&freq=A&start=2015&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Feb 14 2023 17:29:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2015","2016","2017","2018","2019","2020","2021"
"Other industrial : South Atlantic","$/short ton","COAL.COST.SAT-10.A",92.17,91.26,94.46,99.11,101.78,94.21,97.46
"Other industrial : Delaware","$/short ton","COAL.COST.DE-10.A","--","--","--","--","--","--","--"
"Other industrial : District Of Columbia","$/short ton","COAL.COST.DC-10.A","--","--","--","--","--","--","--"
"Other industrial : Florida","$/short ton","COAL.COST.FL-10.A","W","W",100.95,114.54,113.72,103.02,"W"
"Other industrial : Georgia","$/short ton","COAL.COST.GA-10.A",103.49,97.77,93.15,102.08,106.43,91.60,95.02
"Other industrial : Maryland","$/short ton","COAL.COST.MD-10.A","W","W","W","W","W","W","W"
"Other industrial : North Carolina","$/short ton","COAL.COST.NC-10.A",102.16,97.38,93.57,96.36,105.01,96.50,97.85
"Other industrial : South Carolina","$/short ton","COAL.COST.SC-10.A",99.81,94.45,97.23,99.82,102.25,101.06,106.87
"Other industrial : Virginia","$/short ton","COAL.COST.VA-10.A",90.51,91.76,91.47,92.18,99.15,91.37,89.29
"Other industrial : West Virginia","$/short ton","COAL.COST.WV-10.A",99.33,120.27,"W","W","W","W","W"
"Other industrial : East South Central","$/short ton","COAL.COST.ESC-10.A",97.28,88.25,87.44,87.67,96.16,99.20,97.77
"Other industrial : Alabama","$/short ton","COAL.COST.AL-10.A",103.23,88.91,93.50,94.89,94.64,92.81,89.64
"Other industrial : Kentucky","$/short ton","COAL.COST.KY-10.A",94.83,90.71,89.26,88.59,103.17,105.38,104.78
"Other industrial : Mississippi","$/short ton","COAL.COST.MS-10.A","W","--","--","--","W","W","W"
"Other industrial : Tennessee","$/short ton","COAL.COST.TN-10.A","W",86.83,82.73,82.48,"W","W","W"
"Other industrial : West South Central","$/short ton","COAL.COST.WSC-10.A",74.00,66.95,65.06,76.36,78.70,81.72,75.43
"Other industrial : Arkansas","$/short ton","COAL.COST.AR-10.A","W","W","W","W","W","W","W"
"Other industrial : Louisiana","$/short ton","COAL.COST.LA-10.A","W","W","W","W","W","W","W"
"Other industrial : Oklahoma","$/short ton","COAL.COST.OK-10.A",60.42,57.75,56.54,68.79,79.91,115.78,"W"
"Other industrial : Texas","$/short ton","COAL.COST.TX-10.A",85.55,81.76,73.23,87.32,84.92,86.95,91.75
"Other industrial : Mountain","$/short ton","COAL.COST.MTN-10.A",55.18,53.07,53.03,56.36,59.59,60.50,61.08
"Other industrial : Arizona","$/short ton","COAL.COST.AZ-10.A","W","W","W","W","W","W","W"
"Other industrial : Colorado","$/short ton","COAL.COST.CO-10.A",63.93,73.76,54.49,57.77,"W","W","W"
"Other industrial : Idaho","$/short ton","COAL.COST.ID-10.A",70.39,"W","W","W","W","W","W"
"Other industrial : Montana","$/short ton","COAL.COST.MT-10.A",38.57,40.52,37.48,41.29,50.96,"W",45.09
"Other industrial : Nevada","$/short ton","COAL.COST.NV-10.A",72.12,69.97,71.55,75.09,77.91,75.60,78.58
"Other industrial : New Mexico","$/short ton","COAL.COST.NM-10.A","W","W","W","W","W","W","W"
"Other industrial : Utah","$/short ton","COAL.COST.UT-10.A",52.85,50.09,52.90,53.65,57.77,53.73,50.63
"Other industrial : Wyoming","$/short ton","COAL.COST.WY-10.A",43.76,41.40,44.66,46.57,47.78,48.18,51.52
"Other industrial : Pacific Contiguous","$/short ton","COAL.COST.PCC-10.A",81.82,77.21,86.26,81.44,79.97,82.09,83.06
"Other industrial : California","$/short ton","COAL.COST.CA-10.A",82.75,77.23,87.02,81.73,79.64,81.96,83.16
"Other industrial : Oregon","$/short ton","COAL.COST.OR-10.A","W","W","W","W","W","W","W"
"Other industrial : Washington","$/short ton","COAL.COST.WA-10.A","W","W","W","W","W","W","W"
"Other industrial : Pacific Noncontiguous","$/short ton","COAL.COST.PCN-10.A","W","--","--","--","--","--","--"
"Other industrial : Alaska","$/short ton","COAL.COST.AK-10.A","--","--","--","--","--","--","--"
"Other industrial : Hawaii","$/short ton","COAL.COST.HI-10.A","W","--","--","--","--","--","--"
