,FIPS,NERC Region
1256,55005,MRO
1257,55009,MRO
1258,55011,MRO
1259,55013,MRO
1260,55017,MRO
1261,55021,MRO
1262,55025,MRO
1263,55029,RFC
1264,55039,MRO
1265,55043,MRO
1266,55055,RFC
1267,55057,MRO
1268,55059,RFC
1269,55063,MRO
1270,55065,MRO
1271,55071,MRO
1272,55073,MRO
1273,55075,MRO
1274,55079,RFC
1275,55081,MRO
1276,55087,RFC
1277,55089,RFC
1278,55095,MRO
1279,55103,MRO
1280,55105,MRO
1281,55113,MRO
1282,55117,MRO
1283,55121,MRO
1284,55123,MRO
1285,55131,RFC
1286,55139,RFC
1287,55141,MRO
1288,56005,WECC
1289,56009,WECC
1290,56013,WECC
1291,56021,WECC
1292,56023,WECC
1293,56031,WECC
1294,56033,WECC
1295,56037,WECC
1296,56039,WECC
1297,01003,SERC
1298,01005,SERC
1299,01007,SERC
1300,01009,SERC
1301,01011,SERC
1302,01013,SERC
1303,01017,SERC
1304,01019,SERC
1305,01021,SERC
1306,01027,SERC
1307,01029,SERC
1308,01031,SERC
1309,01035,SERC
1310,01037,SERC
1311,01041,SERC
1312,01043,SERC
1313,01045,SERC
1314,01049,SERC
1315,01051,SERC
1316,01057,SERC
1317,01059,SERC
1318,01061,SERC
1319,01065,SERC
1320,01067,SERC
1321,01071,SERC
1322,01075,SERC
1323,01077,SERC
1324,01079,SERC
1325,01083,SERC
1326,01087,SERC
1327,01089,SERC
1328,01093,SERC
1329,01095,SERC
1330,01101,SERC
1331,01105,SERC
1332,01107,SERC
1333,01109,SERC
1334,01111,SERC
1335,01115,SERC
1336,01119,SERC
1337,01125,SERC
1338,01133,SERC
1339,02170,ASCC
1340,02270,ASCC
1341,04007,WECC
1342,04009,WECC
1343,04011,WECC
1344,04012,WECC
1345,04025,WECC
1346,05001,SERC
1347,05005,SERC
1348,05009,SERC
1349,05011,SERC
1350,05013,SERC
1351,05015,SERC
1352,05017,SERC
1353,05019,SERC
1354,05023,SERC
1355,05025,SERC
1356,05027,SERC
1357,05029,SERC
1358,05033,SERC
1359,05035,SERC
1360,05037,SERC
1361,05039,SERC
1362,05043,SERC
1363,05045,SERC
1364,05049,SERC
1365,05051,SERC
1366,05053,SERC
1367,05061,SERC
1368,05065,SERC
1369,05067,SERC
1370,05071,SERC
1371,05073,SERC
1372,05075,SERC
1373,05077,SERC
1374,05079,SERC
1375,05083,SERC
1376,05085,SERC
1377,05087,SERC
1378,05089,SERC
1379,05091,SERC
1380,05095,SERC
1381,05097,SERC
1382,05099,SERC
1383,05101,SERC
1384,05105,SERC
1385,05107,SERC
1386,05109,SERC
1387,05111,SERC
1388,05113,SERC
1389,05115,SERC
1390,05117,SERC
1391,05121,SERC
1392,05123,SERC
1393,05125,SERC
1394,05127,SERC
1395,05129,SERC
1396,05131,SERC
1397,05133,SERC
1398,05135,SERC
1399,05137,SERC
1400,05141,SERC
1401,05145,SERC
1402,05149,SERC
1403,06003,WECC
1404,06005,WECC
1405,06009,WECC
1406,06015,WECC
1407,06021,WECC
1408,06041,WECC
1409,06043,WECC
1410,06045,WECC
1411,06049,WECC
1412,06057,WECC
1413,06063,WECC
