,County,State,FIPS,TotalOil (bbl),TotalGas (mcf),em_gas_county (lbCO2e),em_oil_county (lbCO2e),em_total_county (lbCO2e),annual_avg_emplvl
125,CHOCTAW,AL,01023,153857,37955,4564701.723250001,150075971.7649799,154640673.4882299,
126,CHOUTEAU,MT,30015,0,571982,71525662.72160001,0,71525662.72160001,
127,CIMARRON,OK,40025,84787,165721,19930626.64,79730566.64061646,99661193.28476647,
128,CLAIBORNE,LA,22027,1397946.165,10349771,1232654104,1363591706.2947133,2596245809.974863,21.75
129,CLARE,MI,26035,216772,211223,26092873.56,208809656.70102432,234902530.2650743,
130,CLARION,PA,42031,1076.3399970599999,7142075.299465732,864781760.8626194,1040002.5616316181,865821763.4,57.75
131,CLARK,KS,20025,159476.71,927631,111779025.30295001,149966014.29796153,261745039.60091156,
132,CLARKE,AL,01025,94343,2500,300665.375,92024525.39841215,92325190.77341215,
133,CLAY,KS,20027,2670.77,0,0,2511493.571735752,2511493.571735752,
134,CLAY,TX,48077,363766,1367510,163029482.41300002,340702005.9721356,503731488.38513565,
135,CLAY,WV,54015,19422,994357,126083025.8,18766309.722933494,144849335.5052835,
136,CLEARFIELD,PA,42033,0,9399363.48,1138100308.4399776,0,1138100308.4399776,
137,CLEBURNE,AR,05023,0,44595538,5295706759,0,5295706759,
138,CLEVELAND,OK,40027,247383,441363,53081028.76,232629846.1704698,285710874.9329198,68
139,CLINTON,PA,42035,0,20227421.04,2449190753.560008,0,2449190753.560008,
